0	MN033	MN011	MN032	MN016	MN012	MN019
1	MN048	MN051	MN057	MN049	MN047	MN050
2	MN999	MN999	MN999	MN999	MN999	MN999
3	MN999	MN999	MN999	MN999	MN999	MN999
4	MN999	MN999	MN999	MN999	MN999	MN999
5	MN999	MN999	MN999	MN999	MN999	MN999
6	MN999	MN999	MN999	MN999	MN999	MN999
7	MN999	MN999	MN999	MN999	MN999	MN999
8	MN999	MN999	MN999	MN999	MN999	MN999
9	MN999	MN999	MN999	MN999	MN999	MN999
10	MN999	MN999	MN999	MN999	MN999	MN999
11	MN999	MN999	MN999	MN999	MN999	MN999
12	MN999	MN999	MN999	MN999	MN999	MN999
13	MN999	MN999	MN999	MN999	MN999	MN999
14	MN999	MN999	MN999	MN999	MN999	MN999
15	MN999	MN999	MN999	MN999	MN999	MN999
16	MN999	MN999	MN999	MN999	MN999	MN999
17	MN999	MN999	MN999	MN999	MN999	MN999
18	MN999	MN999	MN999	MN999	MN999	MN999
19	MN999	MN999	MN999	MN999	MN999	MN999
20	MN999	MN999	MN999	MN999	MN999	MN999
21	MN999	MN999	MN999	MN999	MN999	MN999
22	MN999	MN999	MN999	MN999	MN999	MN999
23	MN999	MN999	MN999	MN999	MN999	MN999
24	MN999	MN999	MN999	MN999	MN999	MN999
25	MN999	MN999	MN999	MN999	MN999	MN999
26	MN999	MN999	MN999	MN999	MN999	MN999
27	MN999	MN999	MN999	MN999	MN999	MN999
28	MN999	MN999	MN999	MN999	MN999	MN999
29	MN999	MN999	MN999	MN999	MN999	MN999
30	MN999	MN999	MN999	MN999	MN999	MN999
31	MN999	MN999	MN999	MN999	MN999	MN999
32	MN999	MN999	MN999	MN999	MN999	MN999
33	MN999	MN999	MN999	MN999	MN999	MN999
34	MN999	MN999	MN999	MN999	MN999	MN999
35	MN999	MN999	MN999	MN999	MN999	MN999
